"Operon_ID","Gene","Product"
210,"HCP21_00034470","hypothetical protein"
210,"HCP21_00034650","hypothetical protein"
210,"HCP21_00034760","Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain"
211,"HCP21_00034860","DHHC zinc finger domain."
212,"HCP21_00034940","23S"
212,"HCP21_00034980","Annexin."
212,"HCP21_00035080","hypothetical protein"
212,"HCP21_00035630","hypothetical protein"
212,"HCP21_00035670","hypothetical protein"
213,"HCP21_00035740","Cation/multidrug efflux pump"
214,"HCP21_00035770","hypothetical protein"
214,"HCP21_00035800","hypothetical protein"
214,"HCP21_00035880","Tubulin C-terminal domain."
214,"HCP21_00035950","hypothetical protein"
214,"HCP21_00035970","hypothetical protein"
214,"HCP21_00036070","hypothetical protein"
214,"HCP21_00036110","Protein kinase domain."
214,"HCP21_00036120","Penicillin-binding protein-related factor A, putative recombinase"
214,"HCP21_00036130","RNA recognition motif."
214,"HCP21_00036140","hypothetical protein"
215,"HCP21_00036160","hypothetical protein"
215,"HCP21_00036230","hypothetical protein"
215,"HCP21_00036260","hypothetical protein"
216,"HCP21_00036310","hypothetical protein"
216,"HCP21_00036320","hypothetical protein"
217,"HCP21_00036340","hypothetical protein"
218,"HCP21_00036410","hypothetical protein"
218,"HCP21_00036500","hypothetical protein"
218,"HCP21_00036630","hypothetical protein"
218,"HCP21_00036680","Butyrate kinase"
218,"HCP21_00036710","Small-conductance mechanosensitive channel"
218,"HCP21_00036730","hypothetical protein"
218,"HCP21_00036740","Protein of unknown function (DUF1222)."
218,"HCP21_00036770","Cyclin"
219,"HCP21_00036800","hypothetical protein"
219,"HCP21_00036880","23S"
220,"HCP21_00036900","hypothetical protein"
221,"HCP21_00036940","hypothetical protein"
221,"HCP21_00036960","hypothetical protein"
221,"HCP21_00037210","16S"
221,"HCP21_00037220","16S"
222,"HCP21_00037230","16S"
222,"HCP21_00037300","Serine/threonine protein kinase"
222,"HCP21_00037370","hypothetical protein"
223,"HCP21_00037500","SAM domain (Sterile alpha motif)."
224,"HCP21_00037540","hypothetical protein"
225,"HCP21_00037680","hypothetical protein"
225,"HCP21_00037730","hypothetical protein"
226,"HCP21_00037760","hypothetical protein"
